City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
36,Hamilton,39.18,-84.53,46.99,65,40,2.66,US,2020-11-28 17:22:21,scattered clouds
37,Vestmanna,62.16,-7.17,41.0,93,100,1.12,FO,2020-11-28 17:23:25,light rain
38,Kovdor,67.57,30.48,19.8,97,69,6.29,RU,2020-11-28 17:23:25,broken clouds
39,Bambous Virieux,-20.34,57.76,77.0,78,75,11.41,MU,2020-11-28 17:23:25,broken clouds
40,Vila Franca Do Campo,37.72,-25.43,57.2,54,40,17.22,PT,2020-11-28 17:23:25,scattered clouds
41,Itaituba,-4.28,-55.98,93.2,56,40,10.29,BR,2020-11-28 17:21:08,scattered clouds
42,Foumban,5.73,10.9,73.27,41,0,0.92,CM,2020-11-28 17:23:26,clear sky
43,Upernavik,72.79,-56.15,-0.58,72,77,6.78,GL,2020-11-28 17:23:26,broken clouds
44,Niceville,30.52,-86.48,72.0,73,40,11.41,US,2020-11-28 17:23:26,scattered clouds
45,Qandala,11.47,49.87,78.8,69,13,7.09,SO,2020-11-28 17:20:26,few clouds
